id,created_at,full_text,url,matched_query,category
1443627978768982022,2021-09-30T17:25:06.000Z,"Amusing that something called the ""Revolving Door Project"" *supports* Kanter's ""independence"" after his legal representation of:
 Epic Games
 Microsoft
 News Corp
 Spotify
 Yelp


https://
reuters.com/legal/legalind
ustry/doj-antitrust-nominee-reports-20-mln-paul-weiss-income-2021-08-30/
…",https://x.com/adamkovac/status/1443627978768982022,Revolving Door Project,Hypocrisy / selective outrage
1841569321103065401,2024-10-02T20:01:55.000Z,"Early and throughout the Biden Admin, foundation-funded 
@revolvingdoorDC
 led by 
@jeffhauser
, 
@Public_Citizen
, and enabled by their media partner 
@TheProspect
, worked to blackball Biden noms and appointees with corporate experience - unless those noms pubicly flip-flopped.

3/",https://x.com/adamkovac/status/1841569321103065401,Revolving Door Project,Appointments / philosophy critique
1841569442851115460,2024-10-02T20:02:24.000Z,"The key difference this time is that Harris doesn't owe anything to anyone.

Certainly not to Elizabeth Warren, who stabbed her in the back 

Allowing 
@jeffhauser
, 
@revolvingdoorDC
, and 
@TheProspect
 to dictate appointments is what got Biden underwater on the economy in the 
https://
x.com/krossny1/statu
s/1829151379111456973
…",https://x.com/adamkovac/status/1841569442851115460,Revolving Door Project,Appointments / philosophy critique
1846185690486186193,2024-10-15T13:45:43.000Z,"It's 3 wks til election day.  What are YOU doing to elect 
@KamalaHarris
?

Here's what the Revolving Door Project (
@revolvingdoorDC
) is doing:

Dropping oppo against potential Harris chiefs: Voles, Butler, Richmond 

Very constructive!


https://
prospect.org/power/2024-10-
14-big-fiscal-or-big-business/
…",https://x.com/adamkovac/status/1846185690486186193,Revolving Door Project,Appointments / philosophy critique
1846198531792503289,2024-10-15T14:36:45.000Z,"Forget ""measuring the drapes.""  Revolving Door Project is holding the drapes hostage - by dropping oppo on possible Harris chiefs of staff.",https://x.com/adamkovac/status/1846198531792503289,Revolving Door Project,Appointments / philosophy critique
1846713591430631502,2024-10-17T00:43:25.000Z,"Exactly right. 
@revolvingdoorDC
 has never been consistent about opposing people w corporate backgrounds. Never said a peep about Kanter who rep’d Yelp, MSFT, News Corp.",https://x.com/adamkovac/status/1846713591430631502,Revolving Door Project,Hypocrisy / selective outrage
1849053820870971766,2024-10-23T11:42:39.000Z,"When Hauser’s Revolving Door Project is demanding that the Harris Administration not appoint someone, the Harris folks should remember that this guy was cheering for her loss rather than helping her win.",https://x.com/adamkovac/status/1849053820870971766,Revolving Door Project,Jeff Hauser / The Groups
1849100459291681008,2024-10-23T14:47:58.000Z,"I've been a proud Democrat for 28 years & have worked in D Hill offices and campaigns.  This cycle I was an early Harris booster & I've contributed to Harris and House Dem challengers to flip seats red to blue.  

What have you done lately to help Democrats win?",https://x.com/adamkovac/status/1849100459291681008,Jeff Hauser,Purity tests & Dem coalition
1857494646634512604,2024-11-15T18:43:28.000Z,"But Sherrod Brown himself ran a Senate campaign where he *did* make companies an enemy - including $100M+ worth of ads - and he lost to a car salesman.  

So how is that a winning message?",https://x.com/adamkovac/status/1857494646634512604,Jeff Hauser,Purity tests & Dem coalition
1861506374880108945,2024-11-26T20:24:39.000Z,"One would think that 
@revolvingdoorDC
 would have plenty to attack with Trump's cabinet appointees.  The revolving door is the org's whole reason for being!  

Instead of that, they're going after the abundance movement .  Mission creep.",https://x.com/adamkovac/status/1861506374880108945,Revolving Door Project,Hypocrisy / selective outrage
